Player,Receiver_Score,Receiver_Rank,Team
Deven Thompkins,6.655362021007183,425.0,CAR
Brevyn Spann-Ford,6.657868275196333,426.0,DAL
Cordarrelle Patterson,6.661794291030445,427.0,PIT
Ryan Miller,6.666637179339553,428.0,TB
Ricky Pearsall,6.669807497732026,429.0,SF
MarShawn Lloyd,6.6718971884674865,430.0,GB
C.J. Ham,6.673193173174913,431.0,MIN
Deshaun Watson,6.678995794333591,432.0,CLE
Tua Tagovailoa,6.678995794333591,432.0,MIA
Drake Maye,6.678995794333591,432.0,NE
JuJu Smith-Schuster,6.680441551488418,435.0,KC
Bub Means,6.680466311053651,436.0,NO
Audric Estime,6.680949452626264,437.0,DEN
Brandon Aiyuk,6.68153987784846,438.0,SF
Brandon Powell,6.685007570826195,439.0,MIN
Ray Davis,6.6894947504138,440.0,BUF
Hayden Hurst,6.696064201755011,441.0,LAC
Pierre Strong,6.700147244018211,442.0,CLE
Lucas Krull,6.701294898498185,443.0,DEN
Hunter Long,6.7057182610834465,444.0,LAR
Hunter Luepke,6.706513635189837,445.0,DAL
Jamison Crowder,6.709009133035305,446.0,WAS
Jaelon Darden,6.709105985822358,447.0,CLE
Carson Steele,6.710722245591388,448.0,KC
Jeff Wilson,6.715211984439009,449.0,MIA
Zamir White,6.716175305816207,450.0,LV
Ronnie Bell,6.718209659533457,451.0,SF
Harrison Bryant,6.718704579285832,452.0,LV
Treylon Burks,6.719404885278287,453.0,TEN
Zach Davidson,6.721751744788873,454.0,BUF
Mike Williams,6.722407646756399,455.0,NYJ
Isaac Guerendo,6.7237921170453125,456.0,SF
Adam Trautman,6.723805831340829,457.0,DEN
Charlie Kolar,6.725230841256405,458.0,BAL
C.J. Stroud,6.726486833760115,459.0,HOU
Blake Corum,6.727074697512919,460.0,LAR
Jalen Coker,6.7290018451095746,461.0,CAR
Jordan Mims,6.746640450118844,462.0,NO
Geoff Swaim,6.749077052445889,463.0,CLE
Jared Wiley,6.750020448672305,464.0,KC
Kristian Wilkerson,6.75182147327613,465.0,LV
